tokens,tags
"['Three' 'patients' 'who' 'had' 'experienced' 'neuroleptic' '-' 'induced'
 'akathisia' 'in' 'the' 'past' 'reported' 'that' 'the' 'symptoms' 'of'
 'fluoxetine' '-' 'induced' 'akathisia' 'were' 'identical' ',' 'although'
 'somewhat' 'milder' '.']",[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0]
"['Akathisia' 'appeared' 'to' 'be' 'a' 'common' 'side' 'effect' 'of'
 'fluoxetine' 'and' 'generally' 'responded' 'well' 'to' 'treatment' 'with'
 'the' 'beta' '-' 'adrenergic' 'antagonist' 'propranolol' ',' 'dose'
 'reduction' ',' 'or' 'both' '.']",[2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
"['The' 'authors' 'suggest' 'that' 'fluoxetine' '-' 'induced' 'akathisia'
 'may' 'be' 'caused' 'by' 'serotonergically' 'mediated' 'inhibition' 'of'
 'dopaminergic' 'neurotransmission' 'and' 'that' 'the' 'pathophysiology'
 'of' 'fluoxetine' '-' 'induced' 'akathisia' 'and' 'tricyclic'
 'antidepressant']",[0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 1]
"['Chronic' 'active' 'hepatitis' 'associated' 'with' 'diclofenac' 'sodium'
 'therapy' '.']",[2 3 3 0 0 1 4 0 0]
"['Diclofenac' 'sodium' '(' 'Voltarol' ',' 'Geigy' 'Pharmaceuticals' ')'
 'is' 'a' 'non' '-' 'steroidal' 'anti' '-' 'inflammatory' 'derivative'
 'of' 'phenylacetic' 'acid' '.']",[1 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0]
"['Although' 'generally' 'well' '-' 'tolerated' ',' 'asymptomatic'
 'abnormalities' 'of' 'liver' 'function' 'have' 'been' 'recorded' 'and'
 ',' 'less' 'commonly' ',' 'severe' 'hepatitis' 'induced' 'by'
 'diclofenac' '.']",[0 0 0 0 0 0 0 2 3 3 3 0 0 0 0 0 0 0 0 0 2 0 0 1 0]
"['The' 'patient' 'described' 'developed' 'chronic' 'active' 'hepatitis'
 'after' 'six' 'months' 'therapy' 'with' 'diclofenac' 'sodium']",[0 0 0 0 2 3 3 0 0 0 0 0 1 4]
['Stroke' 'associated' 'with' 'cocaine' 'use' '.'],[2 0 0 1 0 0]
"['We' 'describe' 'eight' 'patients' 'in' 'whom' 'cocaine' 'use' 'was'
 'related' 'to' 'stroke' 'and' 'review' '39' 'cases' 'from' 'the'
 'literature' '.']",[0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0]
"['Among' 'these' '47' 'patients' 'the' 'mean' '(+/-' 'SD' ')' 'age' 'was'
 '32' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
['5' '+/-' '12' '.'],[0 0 0 0]
['1' 'years' ';' '76' '%(' '34' '/' '45' ')' 'were' 'men' '.'],[0 0 0 0 0 0 0 0 0 0 0 0]
"['Stroke' 'followed' 'cocaine' 'use' 'by' 'inhalation' ',' 'intranasal'
 ',' 'intravenous' ',' 'and' 'intramuscular' 'routes' '.']",[2 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
"['Intracranial' 'aneurysms' 'or' 'arteriovenous' 'malformations' 'were'
 'present' 'in' '17' 'of' '32' 'patients' 'studied' 'angiographically'
 'or' 'at' 'autopsy' ';' 'cerebral' 'vasculitis' 'was' 'present' 'in'
 'two' 'patients' '.']",[2 3 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0]
"['Cerebral' 'infarction' 'occurred' 'in' '10' 'patients' '(' '22' '%),'
 'intracerebral' 'hemorrhage' 'in' '22' '(' '49' '%),' 'and'
 'subarachnoid' 'hemorrhage' 'in' '13' '(' '29' '%).' 'These' 'data'
 'indicate' 'that' '(' '1' ')' 'the' 'apparent' 'incidence' 'of' 'stroke'
 'related' 'to' 'cocaine' 'use' 'is' 'increasing' ';(' '2' ')' 'cocaine'
 '-' 'associated' 'stroke' 'occurs' 'primarily' 'in' 'young' 'adults' ';('
 '3' ')' 'stroke' 'may' 'follow' 'any' 'route' 'of' 'cocaine'
 'administration' ';(' '4' ')' 'stroke' 'after' 'cocaine' 'use' 'is'
 'frequently' 'associated' 'with' 'intracranial' 'aneurysms' 'and'
 'arteriovenous' 'malformations' ';' 'and' '(' '5' ')' 'in' 'cocaine' '-'
 'associated' 'stroke' ',' 'the' 'frequency' 'of' 'intracranial'
 'hemorrhage' 'exceeds' 'that' 'of' 'cerebral' 'infarction']","[2 3 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0
 0 0 2 3 0 2 3 0 0 0 0 0 0 1 0 0 2 0 0 0 0 2 3 0 0 0 2 3]"
['Glyburide' '-' 'induced' 'hepatitis' '.'],[1 0 0 2 0]
"['Drug' '-' 'induced' 'hepatotoxicity' ',' 'although' 'common' ',' 'has'
 'been' 'reported' 'only' 'infrequently' 'with' 'sulfonylureas' '.']",[0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0]
"['For' 'glyburide' ',' 'a' 'second' '-' 'generation' 'sulfonylurea' ','
 'only' 'two' 'brief' 'reports' 'of' 'hepatotoxicity' 'exist' '.']",[0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0]
"['Two' 'patients' 'with' 'type' 'II' 'diabetes' 'mellitus' 'developed'
 'an' 'acute' 'hepatitis-like' 'syndrome' 'soon' 'after' 'initiation' 'of'
 'glyburide' 'therapy' '.']",[0 0 0 2 3 3 3 0 0 2 3 3 0 0 0 0 1 0 0]
"['There' 'was' 'no' 'serologic' 'evidence' 'of' 'viral' 'infection' ','
 'and' 'a' 'liver' 'biopsy' 'sample' 'showed' 'a' 'histologic' 'pattern'
 'consistent' 'with' 'drug-induced' 'hepatitis' '.']",[0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0]
"['Both' 'patients' 'recovered' 'quickly' 'after' 'stopping' 'glyburide'
 'therapy' 'and' 'have' 'remained' 'well' 'for' 'a' 'follow' '-' 'up'
 'period' 'of' '1' 'year' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['Glyburide' 'can' 'produce' 'an' 'acute' 'hepatitis-like' 'illness'],[1 0 0 0 2 3 3]
"['Systolic' 'pressure' 'variation' 'is' 'greater' 'during' 'hemorrhage'
 'than' 'during' 'sodium' 'nitroprusside' '-' 'induced' 'hypotension' 'in'
 'ventilated' 'dogs' '.']",[0 0 0 0 0 0 2 0 0 1 4 0 0 2 0 0 0 0]
"['The' 'systolic' 'pressure' 'variation' '(' 'SPV' '),' 'which' 'is' 'the'
 'difference' 'between' 'the' 'maximal' 'and' 'minimal' 'values' 'of'
 'the' 'systolic' 'blood' 'pressure' '(' 'SBP' ')' 'after' 'one'
 'positive' '-' 'pressure' 'breath' ',' 'was' 'studied' 'in' 'ventilated'
 'dogs' 'subjected' 'to' 'hypotension' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0]"
"['Mean' 'arterial' 'pressure' 'was' 'decreased' 'to' '50' 'mm' 'Hg' 'for'
 '30' 'minutes' 'either' 'by' 'hemorrhage' '(' 'HEM' ',' 'n' '=' '7' ')'
 'or' 'by' 'continuous' 'infusion' 'of' 'sodium' 'nitroprusside' '(' 'SNP'
 ',' 'n' '=' '7' ').' 'During' 'HEM' '-' 'induced' 'hypotension' 'the'
 'cardiac' 'output' 'was' 'significantly' 'lower' 'and' 'systemic'
 'vascular' 'resistance' 'higher' 'compared' 'with' 'that' 'in' 'the'
 'SNP' 'group' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 1 4 0 1 0 0 0 0 0 0
 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]"
"['The' 'systemic' ',' 'central' 'venous' ',' 'pulmonary' 'capillary'
 'wedge' 'pressures' ',' 'and' 'heart' 'rates' ',' 'were' 'similar' 'in'
 'the' 'two' 'groups' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Analysis' 'of' 'the' 'respiratory' 'changes' 'in' 'the' 'arterial'
 'pressure' 'waveform' 'enabled' 'differentiation' 'between' 'the' 'two'
 'groups' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['The' 'SPV' 'during' 'hypotension' 'was' '15' '.'],[0 0 0 2 0 0 0]
['7' '+/-' '6' '.'],[0 0 0 0]
"['7' 'mm' 'Hg' 'in' 'the' 'HEM' 'group' ',' 'compared' 'with' '9' '.']",[0 0 0 0 0 2 0 0 0 0 0 0]
['1' '+/-' '2' '.'],[0 0 0 0]
['0' 'mm' 'Hg' 'in' 'the' 'SNP' 'group' '(' 'P' 'less' 'than' '0' '.'],[0 0 0 0 0 1 0 0 0 0 0 0 0]
"['02' ').' 'The' 'delta' 'down' ',' 'which' 'is' 'the' 'measure' 'of'
 'decrease' 'of' 'SBP' 'after' 'a' 'mechanical' 'breath' ',' 'was' '20'
 '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['3' '+/-' '8' '.'],[0 0 0 0]
['4' 'and' '10' '.'],[0 0 0 0]
['1' '+/-' '3' '.'],[0 0 0 0]
"['8' 'mm' 'Hg' 'in' 'the' 'HEM' 'and' 'SNP' 'groups' ',' 'respectively'
 ',' 'during' 'hypotension' '(' 'P' 'less' 'than' '0' '.']",[0 0 0 0 0 2 0 1 0 0 0 0 0 2 0 0 0 0 0 0]
"['02' ').' 'It' 'is' 'concluded' 'that' 'increases' 'in' 'the' 'SPV' 'and'
 'the' 'delta' 'down' 'are' 'characteristic' 'of' 'a' 'hypotensive'
 'state' 'due' 'to' 'a' 'predominant' 'decrease' 'in' 'preload' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0]
"['They' 'are' 'thus' 'more' 'important' 'during' 'absolute' 'hypovolemia'
 'than' 'during' 'deliberate' 'hypotension']",[0 0 0 0 0 0 0 2 0 0 0 2]
['Drug' '-' 'induced' 'arterial' 'spasm' 'relieved' 'by' 'lidocaine' '.'],[0 0 0 0 2 0 0 1 0]
['Case' 'report' '.'],[0 0 0]
"['Following' 'major' 'intracranial' 'surgery' 'in' 'a' '35' '-' 'year' '-'
 'old' 'man' ',' 'sodium' 'pentothal' 'was' 'intravenously' 'infused' 'to'
 'minimize' 'cerebral' 'ischaemia' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 0 0 2 3 0]
"['Intense' 'vasospasm' 'with' 'threatened' 'gangrene' 'arose' 'in' 'the'
 'arm' 'used' 'for' 'the' 'infusion' '.']",[0 2 0 0 2 0 0 0 0 0 0 0 0 0]
"['Since' 'the' 'cranial' 'condition' 'precluded' 'use' 'of' 'more' 'usual'
 'methods' ',' 'lidocaine' 'was' 'given' 'intra' '-' 'arterially' ','
 'with' 'careful' 'cardiovascular' 'monitoring' ',' 'to' 'counteract'
 'the' 'vasospasm']",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2]
"['Cerebral' 'blood' 'flow' 'and' 'metabolism' 'during' 'isoflurane' '-'
 'induced' 'hypotension' 'in' 'patients' 'subjected' 'to' 'surgery' 'for'
 'cerebral' 'aneurysms' '.']",[0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 2 3 0]
"['Cerebral' 'blood' 'flow' 'and' 'cerebral' 'metabolic' 'rate' 'for'
 'oxygen' 'were' 'measured' 'during' 'isoflurane' '-' 'induced'
 'hypotension' 'in' '10' 'patients' 'subjected' 'to' 'craniotomy' 'for'
 'clipping' 'of' 'a' 'cerebral' 'aneurysm' '.']",[0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 2 3 0]
"['Flow' 'and' 'metabolism' 'were' 'measured' '5' '-' '13' 'days' 'after'
 'the' 'subarachnoid' 'haemorrhage' 'by' 'a' 'modification' 'of' 'the'
 'classical' 'Kety' '-' 'Schmidt' 'technique' 'using' 'xenon' '-' '133'
 'i' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
['v' '.'],[0 0]
"['Anaesthesia' 'was' 'maintained' 'with' 'an' 'inspired' 'isoflurane'
 'concentration' 'of' '0' '.']",[0 0 0 0 0 0 1 0 0 0 0]
"['75' '%(' 'plus' '67' '%' 'nitrous' 'oxide' 'in' 'oxygen' '),' 'during'
 'which' 'CBF' 'and' 'CMRO2' 'were' '34' '.']",[0 0 0 0 0 1 4 0 1 0 0 0 0 0 0 0 0 0]
['3' '+/-' '2' '.'],[0 0 0 0]
['1' 'ml' '/' '100' 'g' 'min' '-' '1' 'and' '2' '.'],[0 0 0 0 0 0 0 0 0 0 0]
['32' '+/-' '0' '.'],[0 0 0 0]
['16' 'ml' '/' '100' 'g' 'min' '-' '1' 'at' 'PaCO2' '4' '.'],[0 0 0 0 0 0 0 0 0 0 0 0]
['1' '+/-' '0' '.'],[0 0 0 0]
"['1' 'kPa' '(' 'mean' '+/-' 'SEM' ').' 'Controlled' 'hypotension' 'to'
 'an' 'average' 'MAP' 'of' '50' '-' '55' 'mm' 'Hg' 'was' 'induced' 'by'
 'increasing' 'the' 'dose' 'of' 'isoflurane' ',' 'and' 'maintained' 'at'
 'an' 'inspired' 'concentration' 'of' '2' '.']",[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
['2' '+/-' '0' '.'],[0 0 0 0]
"['2' '%.' 'This' 'resulted' 'in' 'a' 'significant' 'decrease' 'in' 'CMRO2'
 '(' 'to' '1' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
['73' '+/-' '0' '.'],[0 0 0 0]
"['16' 'ml' '/' '100' 'g' 'min' '-' '1' '),' 'while' 'CBF' 'was'
 'unchanged' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['After' 'the' 'clipping' 'of' 'the' 'aneurysm' 'the' 'isoflurane'
 'concentration' 'was' 'reduced' 'to' '0' '.']",[0 0 0 0 0 2 0 1 0 0 0 0 0 0]
"['75' '%.' 'There' 'was' 'a' 'significant' 'increase' 'in' 'CBF' ','
 'although' 'CMRO2' 'was' 'unchanged' ',' 'compared' 'with' 'pre' '-'
 'hypotensive' 'values' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0]
"['These' 'changes' 'might' 'offer' 'protection' 'to' 'brain' 'tissue'
 'during' 'periods' 'of' 'induced' 'hypotension']",[0 0 0 0 0 0 0 0 0 0 0 0 2]
['Allergic' 'reaction' 'to' '5-fluorouracil' 'infusion' '.'],[2 3 0 1 0 0]
"['An' 'allergic' 'reaction' 'consisting' 'of' 'angioneurotic' 'edema'
 'secondary' 'to' 'continuous' 'infusion' '5-fluorouracil' 'occurred' 'in'
 'a' 'patient' 'with' 'recurrent' 'carcinoma' 'of' 'the' 'oral' 'cavity'
 ',' 'cirrhosis' ',' 'and' 'cisplatin' '-' 'induced' 'impaired' 'renal'
 'function' '.']",[0 2 3 0 0 2 3 0 0 0 0 1 0 0 0 0 0 0 2 3 3 3 3 0 2 0 0 1 0 0 2 3 3 0]
"['This' 'reaction' 'occurred' 'during' 'the' 'sixth' 'and' 'seventh'
 'courses' 'of' 'infusional' 'chemotherapy' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0]
"['Oral' 'diphenhydramine' 'and' 'prednisone' 'were' 'ineffective' 'in'
 'preventing' 'the' 'recurrence' 'of' 'the' 'allergic' 'reaction']",[0 1 0 1 0 0 0 0 0 0 0 0 2 3]
['Amiodarone' '-' 'induced' 'sinoatrial' 'block' '.'],[1 0 0 2 3 0]
"['We' 'observed' 'sinoatrial' 'block' 'due' 'to' 'chronic' 'amiodarone'
 'administration' 'in' 'a' '5' '-' 'year' '-' 'old' 'boy' 'with' 'primary'
 'cardiomyopathy' ',' 'Wolff-Parkinson-White' 'syndrome' 'and'
 'supraventricular' 'tachycardia' '.']",[0 0 2 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 3 0 2 3 0 2 3 0]
"['Reduction' 'in' 'the' 'dosage' 'of' 'amiodarone' 'resulted' 'in' 'the'
 'disappearance' 'of' 'the' 'sinoatrial' 'block' 'and' 'the' 'persistence'
 'of' 'asymptomatic' 'sinus' 'bradycardia']",[0 0 0 0 0 1 0 0 0 0 0 0 2 3 0 0 0 0 0 2 3]
['Possible' 'teratogenicity' 'of' 'sulphasalazine' '.'],[0 0 0 1 0]
"['Three' 'infants' ',' 'born' 'of' 'two' 'mothers' 'with' 'inflammatory'
 'bowel' 'disease' 'who' 'received' 'treatment' 'with' 'sulphasalazine'
 'throughout' 'pregnancy' ',' 'were' 'found' 'to' 'have' 'major'
 'congenital' 'anomalies' '.']",[0 0 0 0 0 0 0 0 2 3 3 0 0 0 0 1 0 0 0 0 0 0 0 0 2 3 0]
"['In' 'the' 'singleton' 'pregnancy' ',' 'the' 'mother' 'had' 'ulcerative'
 'colitis' ',' 'and' 'the' 'infant' ',' 'a' 'male' ',' 'had' 'coarctation'
 'of' 'the' 'aorta' 'and' 'a' 'ventricular' 'septal' 'defect' '.']",[0 0 0 0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 2 3 3 3 0 0 2 3 3 0]
"['In' 'the' 'twin' 'pregnancy' ',' 'the' 'mother' 'had' ""Crohn's""
 'disease' '.']",[0 0 0 0 0 0 0 0 2 3 0]
"['The' 'first' 'twin' ',' 'a' 'female' ',' 'had' 'a' 'left' 'Potter-type'
 'IIa' 'polycystic' 'kidney' 'and' 'a' 'rudimentary' 'left' 'uterine'
 'cornu' '.']",[0 0 0 0 0 0 0 0 0 0 2 3 3 3 0 0 2 3 3 3 0]
"['The' 'second' 'twin' ',' 'a' 'male' ',' 'had' 'some' 'features' 'of'
 ""Potter's"" 'facies' ',' 'hypoplastic' 'lungs' ',' 'absent' 'kidneys'
 'and' 'ureters' ',' 'and' 'talipes' 'equinovarus' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 3 0 2 3 0 2 3 3 3 0 0 2 3 0]
"['Despite' 'reports' 'to' 'the' 'contrary' ',' 'it' 'is' 'suggested'
 'that' 'sulphasalazine']",[0 0 0 0 0 0 0 0 0 0 1]
"['Veno-occlusive' 'liver' 'disease' 'after' 'dacarbazine' 'therapy' '('
 'DTIC' ')' 'for' 'melanoma' '.']",[2 3 3 0 1 0 0 1 0 0 2 0]
"['A' 'case' 'of' 'veno-occlusive' 'disease' 'of' 'the' 'liver' 'with'
 'fatal' 'outcome' 'after' 'dacarbazine' '(' 'DTIC' ')' 'therapy' 'for'
 'melanoma' 'is' 'reported' '.']",[0 0 0 2 3 3 3 3 0 0 0 0 1 0 1 0 0 0 2 0 0 0]
"['There' 'was' 'a' 'fulminant' 'clinical' 'course' 'from' 'start' 'of'
 'symptoms' 'until' 'death' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 0]
"['At' 'autopsy' 'the' 'liver' 'was' 'enlarged' 'and' 'firm' 'with' 'signs'
 'of' 'venous' 'congestion' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 3 0]
"['Small' '-' 'and' 'medium' '-' 'sized' 'hepatic' 'veins' 'were' 'blocked'
 'by' 'thrombosis']",[0 0 0 0 0 0 0 0 0 0 0 2]
['A' 'case' 'of' 'tardive' 'dyskinesia' 'caused' 'by' 'metoclopramide' '.'],[0 0 0 2 3 0 0 1 0]
"['Abnormal' 'involuntary' 'movements' 'appeared' 'in' 'the' 'mouth' ','
 'tongue' ',' 'neck' 'and' 'abdomen' 'of' 'a' '64' '-' 'year' '-' 'old'
 'male' 'patient' 'after' 'he' 'took' 'metoclopramide' 'for'
 'gastrointestinal' 'disorder' 'in' 'a' 'regimen' 'of' '30' 'mg' 'per'
 'day' 'for' 'a' 'total' 'of' 'about' '260' 'days' '.']","[2 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 3 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
['The' 'symptoms' 'exacerbated' 'to' 'a' 'maximum' 'in' 'a' 'month' '.'],[0 0 0 0 0 0 0 0 0 0]
"['When' 'the' 'metoclopramide' 'administration' 'was' 'discontinued' ','
 'the' 'abnormal' 'movements' 'gradually' 'improved' 'to' 'a'
 'considerable' 'extent' '.']",[0 0 1 0 0 0 0 0 2 3 0 0 0 0 0 0 0]
"['Attention' 'to' 'the' 'possible' 'induction' 'of' 'specific' 'tardive'
 'dyskinesia']",[0 0 0 0 0 0 0 2 3]
"['Further' 'observations' 'on' 'the' 'electrophysiologic' 'effects' 'of'
 'oral' 'amiodarone' 'therapy' '.']",[0 0 0 0 0 0 0 0 1 0 0]
"['A' 'case' 'is' 'presented' 'of' 'a' 'reversible' 'intra-Hisian' 'block'
 'occurring' 'under' 'amiodarone' 'treatment' 'for' 'atrial' 'tachycardia'
 'in' 'a' 'patient' 'without' 'clear' 'intraventricular' 'conduction'
 'abnormalities' '.']",[0 0 0 0 0 0 0 2 3 0 0 1 0 0 2 3 0 0 0 0 0 2 3 3 0]
"['His' 'bundle' 'recordings' 'showed' 'an' 'atrial' 'tachycardia' 'with'
 'intermittent' 'exit' 'block' 'and' 'greatly' 'prolonged' 'BH' 'and' 'HV'
 'intervals' '(' '40' 'and' '100' 'msec' ',' 'respectively' ').' 'Thirty'
 'days' 'after' 'amiodarone' 'discontinuation' ',' 'His' 'bundle'
 'electrograms' 'showed' 'atrial' 'flutter' 'without' 'intra' '-' 'Hisian'
 'or' 'infra' '-' 'Hisian' 'delay' '.']","[0 0 0 0 0 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2
 3 0 0 0 0 0 0 0 0 0 0]"
['Amiodarone'],[1]
['Busulfan' '-' 'induced' 'hemorrhagic' 'cystitis' '.'],[1 0 0 2 3 0]
"['A' 'case' 'of' 'a' 'busulfan' '-' 'induced' 'hemorrhage' 'cystitis' 'is'
 'reported' '.']",[0 0 0 0 1 0 0 2 3 0 0 0]
"['Spontaneous' 'resolution' 'occurred' 'following' 'cessation' 'of' 'the'
 'drug' '.']",[0 0 0 0 0 0 0 0 0]
"['The' 'similarity' 'between' 'the' 'histologic' 'appearances' 'of'
 'busulfan' 'cystitis' 'and' 'both' 'radiation' 'and' 'cyclophosphamide'
 '-' 'induced' 'cystitis' 'is' 'discussed' 'and' 'the' 'world'
 'literature' 'reviewed' '.']",[0 0 0 0 0 0 0 1 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0]
"['In' 'view' 'of' 'the' 'known' 'tendency' 'of' 'busulfan' 'to' 'induce'
 'cellular' 'atypia' 'and' 'carcinoma']",[0 0 0 0 0 0 0 1 0 0 0 0 0 2]
"['Rebound' 'hypertensive' 'after' 'sodium' 'nitroprusside' 'prevented'
 'by' 'saralasin' 'in' 'rats' '.']",[0 2 0 1 4 0 0 1 0 0 0]
"['The' 'role' 'of' 'the' 'renin' '--' 'angiotensin' 'system' 'in' 'the'
 'maintenance' 'of' 'blood' 'pressure' 'during' 'halothane' 'anesthesia'
 'and' 'sodium' 'nitroprusside' '(' 'SNP' ')-' 'induced' 'hypotension'
 'was' 'evaluated' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 4 0 1 0 0 2 0 0 0]
"['Control' 'rats' 'received' 'halothane' 'anesthesia' '(' '1' 'MAC' ')'
 'for' 'one' 'hour' ',' 'followed' 'by' 'SNP' 'infusion' ',' '40'
 'microgram' '/' 'kg' '/' 'min' ',' 'for' '30' 'min' ',' 'followed' 'by'
 'a' '30' '-' 'min' 'recovery' 'period' '.']","[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"['A' 'second' 'group' 'of' 'rats' 'was' 'treated' 'identically' 'and' ','
 'in' 'addition' ',' 'received' 'an' 'infusion' 'of' 'saralasin' '(' 'a'
 'competitive' 'inhibitor' 'of' 'angiotensin' 'II' ')' 'throughout' 'the'
 'experimental' 'period' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 4 0 0 0 0 0 0]
"['In' 'each' 'group' ',' 'SNP' 'infusion' 'resulted' 'in' 'an' 'initial'
 'decrease' 'in' 'blood' 'pressure' 'from' '86' 'torr' 'and' '83' 'torr'
 ',' 'respectively' ',' 'to' '48' 'torr' '.']",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"['During' 'the' 'SNP' 'infusion' 'the' 'control' 'animals' 'demonstrated'
 'a' 'progressive' 'increase' 'in' 'blood' 'pressure' 'to' '61' 'torr' ','
 'whereas' 'the' 'saralasin' '-' 'treated' 'animals' 'showed' 'no'
 'change' '.']",[0 0 1 0 0 0 0 0 0 0 2 3 3 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
"['Following' 'discontinuation' 'of' 'SNP' ',' 'blood' 'pressure' 'in'
 'the' 'control' 'animals' 'rebounded' 'to' '94' 'torr' ',' 'as'
 'compared' 'with' '78' 'torr' 'in' 'the' 'saralasin' '-' 'treated' 'rats'
 '.']",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"['This' 'study' 'indicates' 'that' 'with' 'stable' 'halothane'
 'anesthesia' ',' 'the' 'partial' 'recovery' 'of' 'blood' 'pressure'
 'during' 'SNP' 'infusion' 'and' 'the' 'post' '-' 'SNP' 'rebound' 'of'
 'blood' 'pressure' 'can' 'be' 'completely' 'blocked' 'by' 'saralasin' '.']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0]
"['This' 'demonstrates' 'the' 'participation' 'of' 'the' 'renin' '--'
 'angiotensin' 'system' 'in' 'antagonizing' 'the' 'combined' 'hypotensive'
 'effects' 'of' 'halothane' 'and' 'SNP']",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 0 0 1 0 1]
"['Toxic' 'hepatitis' 'induced' 'by' 'antithyroid' 'drugs' ':' 'four'
 'cases' 'including' 'one' 'with' 'cross' '-' 'reactivity' 'between'
 'carbimazole' 'and' 'benzylthiouracil' '.']",[2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]
"['OBJECTIVE' ':' 'This' 'study' 'was' 'conducted' 'to' 'assess' 'the'
 'occurrence' 'of' 'hepatic' 'adverse' 'effects' 'encountered' 'with'
 'antithyroid' 'drugs' '.']",[0 0 0 0 0 0 0 0 0 0 0 2 3 3 0 0 0 0 0]
